start time is: 2017-12-18 21:18:16
this experiment hyperparameters are:
LEARNING_RATE = 0.01
BATCH_SIZE = 16
NUM_EPOCHES = 300
model_file :/media/wangchen/newdata1/wangchen/work/Indoor/models/best_model.pkl

	#####其余要说明的事项#####这次实验是微调place预训练的权重。

Epoch 103: Train cost 0.00199809856713, Train acc 0.998694029851, test acc 0.760447761194
Epoch 104: Train cost 0.00254616048187, Train acc 0.998507462687, test acc 0.762686567164
Epoch 105: Train cost 0.00208939891309, Train acc 0.999067164179, test acc 0.761940298507
Epoch 106: Train cost 0.00265146652237, Train acc 0.998320895522, test acc 0.764179104478
Epoch 107: Train cost 0.00242405175231, Train acc 0.998320895522, test acc 0.761940298507
Epoch 108: Train cost 0.00279657868668, Train acc 0.998507462687, test acc 0.764179104478
Epoch 109: Train cost 0.00184505060315, Train acc 0.998880597015, test acc 0.763432835821
Epoch 110: Train cost 0.00186183233745, Train acc 0.998880597015, test acc 0.761194029851
Epoch 111: Train cost 0.001746805734, Train acc 0.999067164179, test acc 0.759701492537
Epoch 112: Train cost 0.00216416735202, Train acc 0.998880597015, test acc 0.762686567164
Epoch 113: Train cost 0.00168712704908, Train acc 0.999067164179, test acc 0.761194029851
Epoch 114: Train cost 0.00182384124491, Train acc 0.999440298507, test acc 0.761940298507
Epoch 115: Train cost 0.00327587546781, Train acc 0.998320895522, test acc 0.767164179104
Epoch 116: Train cost 0.00219381880015, Train acc 0.998694029851, test acc 0.766417910448
Epoch 117: Train cost 0.00211062072776, Train acc 0.998694029851, test acc 0.767910447761
Epoch 118: Train cost 0.00186359183863, Train acc 0.998694029851, test acc 0.764925373134
Epoch 119: Train cost 0.00205962802283, Train acc 0.998880597015, test acc 0.762686567164
Epoch 120: Train cost 0.00186379824299, Train acc 0.998694029851, test acc 0.767164179104
Epoch 121: Train cost 0.00206068786792, Train acc 0.998880597015, test acc 0.764925373134
Epoch 122: Train cost 0.00153296277858, Train acc 0.999626865672, test acc 0.765671641791
Epoch 123: Train cost 0.00234229513444, Train acc 0.998507462687, test acc 0.766417910448
Epoch 124: Train cost 0.00239121192135, Train acc 0.998507462687, test acc 0.759701492537
Epoch 125: Train cost 0.00195783749223, Train acc 0.999067164179, test acc 0.761940298507
Epoch 126: Train cost 0.00204770895652, Train acc 0.999067164179, test acc 0.765671641791
Epoch 127: Train cost 0.00178944517393, Train acc 0.998694029851, test acc 0.759701492537
Epoch 128: Train cost 0.00159847375471, Train acc 0.999067164179, test acc 0.765671641791
Epoch 129: Train cost 0.00213336059824, Train acc 0.998320895522, test acc 0.767164179104
