
start time is: 2018-01-17 09:45:04

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/0117train_1.conf
learning_rate = 0.00015
batch_size = 12
num_epoches = 300
model_file :/home/ubuntu/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：复现左边0108trian1实验,目的是使用小的学习率打印混淆矩阵,1+2 两个place 一个image。
Epoch 98: Train cost 0.09941252321, Train acc 0.998880597015, test acc 0.79328358209
Epoch 99: Train cost 0.102069854736, Train acc 0.998320895522, test acc 0.785820895522
Epoch 100: Train cost 0.100406192243, Train acc 0.998694029851, test acc 0.796268656716
Epoch 101: Train cost 0.0997516363859, Train acc 0.998694029851, test acc 0.788059701493
Epoch 102: Train cost 0.0991977453232, Train acc 0.998694029851, test acc 0.786567164179
Epoch 103: Train cost 0.0989114046097, Train acc 0.998507462687, test acc 0.786567164179
Epoch 104: Train cost 0.0993360877037, Train acc 0.998320895522, test acc 0.768656716418
Epoch 105: Train cost 0.102653056383, Train acc 0.997574626866, test acc 0.788059701493
Epoch 106: Train cost 0.0998189672828, Train acc 0.998320895522, test acc 0.787313432836
Epoch 107: Train cost 0.0993818938732, Train acc 0.997947761194, test acc 0.788805970149
Epoch 108: Train cost 0.097334459424, Train acc 0.998694029851, test acc 0.782835820896
Epoch 109: Train cost 0.0974278226495, Train acc 0.998880597015, test acc 0.785820895522
Epoch 110: Train cost 0.101245813072, Train acc 0.997947761194, test acc 0.772388059701
Epoch 111: Train cost 0.100120969117, Train acc 0.998694029851, test acc 0.783582089552
Epoch 112: Train cost 0.10083142668, Train acc 0.998694029851, test acc 0.792537313433
Epoch 113: Train cost 0.0989583432674, Train acc 0.998320895522, test acc 0.788805970149
Epoch 114: Train cost 0.0981952548027, Train acc 0.998134328358, test acc 0.786567164179
Epoch 115: Train cost 0.0986385270953, Train acc 0.998507462687, test acc 0.794029850746
Epoch 116: Train cost 0.0996530726552, Train acc 0.998320895522, test acc 0.776119402985
Epoch 117: Train cost 0.0991488173604, Train acc 0.998694029851, test acc 0.788805970149
Epoch 118: Train cost 0.0974431410432, Train acc 0.998880597015, test acc 0.778358208955
Epoch 119: Train cost 0.0971311703324, Train acc 0.998880597015, test acc 0.789552238806
Epoch 120: Train cost 0.0981310158968, Train acc 0.998320895522, test acc 0.786567164179
Epoch 121: Train cost 0.0985422506928, Train acc 0.998507462687, test acc 0.785820895522
