
start time is: 2017-12-28 17:28:56

this experiment hyperparameters are:
config_file :/media/wangchen/newdata1/wangchen/work/Indoor/config/1228train_2.conf
learning_rate = 0.0005
batch_size = 20
num_epoches = 200
model_file :/media/wangchen/newdata1/wangchen/work/Indoor/models/bn_best_model.pkl

其余要说明的事项 ：添加了bn层。

Epoch 97: Train cost 0.0800669193268, Train acc 0.998880597015, test acc 0.755970149254
Epoch 98: Train cost 0.0805671066046, Train acc 0.999067164179, test acc 0.758955223881
Epoch 99: Train cost 0.0804667249322, Train acc 0.998694029851, test acc 0.757462686567
Epoch 100: Train cost 0.0809317231178, Train acc 0.999067164179, test acc 0.761194029851
Epoch 101: Train cost 0.0808891579509, Train acc 0.998507462687, test acc 0.758955223881
Epoch 102: Train cost 0.0812166407704, Train acc 0.998694029851, test acc 0.761940298507
Epoch 103: Train cost 0.0812821090221, Train acc 0.998507462687, test acc 0.758955223881
Epoch 104: Train cost 0.0803078338504, Train acc 0.999440298507, test acc 0.753731343284
Epoch 105: Train cost 0.0803682282567, Train acc 0.998880597015, test acc 0.760447761194
Epoch 106: Train cost 0.0799538046122, Train acc 0.998880597015, test acc 0.75671641791
Epoch 107: Train cost 0.0797543898225, Train acc 0.998694029851, test acc 0.75447761194
Epoch 108: Train cost 0.0798404887319, Train acc 0.998880597015, test acc 0.758208955224
Epoch 109: Train cost 0.081082008779, Train acc 0.998694029851, test acc 0.761194029851
Epoch 110: Train cost 0.0801961645484, Train acc 0.998880597015, test acc 0.757462686567
Epoch 111: Train cost 0.0810011923313, Train acc 0.998880597015, test acc 0.755970149254
Epoch 112: Train cost 0.0800910070539, Train acc 0.998880597015, test acc 0.758955223881
Epoch 113: Train cost 0.081014290452, Train acc 0.998320895522, test acc 0.75671641791
Epoch 114: Train cost 0.0804833844304, Train acc 0.998880597015, test acc 0.751492537313
Epoch 115: Train cost 0.0793426111341, Train acc 0.999813432836, test acc 0.755223880597
Epoch 116: Train cost 0.080032594502, Train acc 0.998694029851, test acc 0.759701492537
Epoch 117: Train cost 0.0804483518004, Train acc 0.999067164179, test acc 0.755223880597
Epoch 118: Train cost 0.0800984203815, Train acc 0.999253731343, test acc 0.761940298507
Epoch 119: Train cost 0.0805220603943, Train acc 0.998694029851, test acc 0.760447761194
Epoch 120: Train cost 0.0803454443812, Train acc 0.998880597015, test acc 0.758208955224
Epoch 121: Train cost 0.0799895301461, Train acc 0.999253731343, test acc 0.761194029851
Epoch 122: Train cost 0.0801131799817, Train acc 0.999067164179, test acc 0.759701492537
Epoch 123: Train cost 0.0802690312266, Train acc 0.999067164179, test acc 0.760447761194
Epoch 124: Train cost 0.0806701108813, Train acc 0.998880597015, test acc 0.758955223881
Epoch 125: Train cost 0.0804091766477, Train acc 0.998880597015, test acc 0.755223880597
Epoch 126: Train cost 0.0809520632029, Train acc 0.998320895522, test acc 0.759701492537
Epoch 127: Train cost 0.080912835896, Train acc 0.998320895522, test acc 0.761940298507
Epoch 128: Train cost 0.0799630358815, Train acc 0.998694029851, test acc 0.75671641791
Epoch 129: Train cost 0.0798538997769, Train acc 0.999440298507, test acc 0.755970149254
Epoch 130: Train cost 0.0800951942801, Train acc 0.998880597015, test acc 0.757462686567
Epoch 131: Train cost 0.0801103189588, Train acc 0.998880597015, test acc 0.753731343284
Epoch 132: Train cost 0.080323278904, Train acc 0.998507462687, test acc 0.759701492537
Epoch 133: Train cost 0.0795972496271, Train acc 0.998507462687, test acc 0.758208955224
Epoch 134: Train cost 0.0808624103665, Train acc 0.998320895522, test acc 0.755970149254
Epoch 135: Train cost 0.0805873796344, Train acc 0.998694029851, test acc 0.761194029851
Epoch 136: Train cost 0.0798593088984, Train acc 0.999253731343, test acc 0.757462686567
Epoch 137: Train cost 0.0798701271415, Train acc 0.998880597015, test acc 0.75671641791
Epoch 138: Train cost 0.080963768065, Train acc 0.998320895522, test acc 0.759701492537
Epoch 139: Train cost 0.0803447961807, Train acc 0.997947761194, test acc 0.760447761194
Epoch 140: Train cost 0.0802347436547, Train acc 0.998694029851, test acc 0.759701492537
Epoch 141: Train cost 0.0804273933172, Train acc 0.999067164179, test acc 0.752985074627
Epoch 142: Train cost 0.0801275745034, Train acc 0.999067164179, test acc 0.761940298507
Epoch 143: Train cost 0.0798259973526, Train acc 0.998880597015, test acc 0.758955223881
Epoch 144: Train cost 0.0805067196488, Train acc 0.998507462687, test acc 0.761194029851
Epoch 145: Train cost 0.0800196826458, Train acc 0.999067164179, test acc 0.758955223881
Epoch 146: Train cost 0.0801475197077, Train acc 0.998694029851, test acc 0.762686567164
Epoch 147: Train cost 0.0802989974618, Train acc 0.999067164179, test acc 0.75671641791
Epoch 148: Train cost 0.0802169069648, Train acc 0.998694029851, test acc 0.757462686567
Epoch 149: Train cost 0.0794908925891, Train acc 0.999067164179, test acc 0.751492537313
Epoch 150: Train cost 0.08046772331, Train acc 0.998320895522, test acc 0.755223880597
Epoch 151: Train cost 0.079565808177, Train acc 0.999626865672, test acc 0.759701492537
Epoch 152: Train cost 0.0799957662821, Train acc 0.999440298507, test acc 0.761194029851
Epoch 153: Train cost 0.079861715436, Train acc 0.998880597015, test acc 0.760447761194
Epoch 154: Train cost 0.081122033298, Train acc 0.998507462687, test acc 0.759701492537
Epoch 155: Train cost 0.0794940069318, Train acc 0.998880597015, test acc 0.759701492537
Epoch 156: Train cost 0.0794189795852, Train acc 0.998880597015, test acc 0.75671641791
Epoch 157: Train cost 0.0804982855916, Train acc 0.998320895522, test acc 0.75671641791
Epoch 158: Train cost 0.0798532292247, Train acc 0.998694029851, test acc 0.758208955224
Epoch 159: Train cost 0.079956382513, Train acc 0.998320895522, test acc 0.762686567164
Epoch 160: Train cost 0.0807392522693, Train acc 0.998507462687, test acc 0.75447761194
Epoch 161: Train cost 0.0799356177449, Train acc 0.999067164179, test acc 0.755970149254
Epoch 162: Train cost 0.0798161774874, Train acc 0.998507462687, test acc 0.75671641791
Epoch 163: Train cost 0.0796469673514, Train acc 0.999440298507, test acc 0.760447761194
Epoch 164: Train cost 0.0798824205995, Train acc 0.998694029851, test acc 0.759701492537
Epoch 165: Train cost 0.0803219974041, Train acc 0.998880597015, test acc 0.750746268657
