
start time is: 2017-12-24 20:26:25

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1224train_1.conf
learning_rate = 0.01
batch_size = 13
num_epoches = 300
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：learning rate decay,l2正则化,增大batch_size。
global cost 0.015233813785, inc1 cost 5.24817943573, inc2 cost 4.71452522278
Epoch 58: Train cost 3.45279502869, Train acc 0.999067164179, test acc 0.716417910448
global cost 0.0169479865581, inc1 cost 5.29800510406, inc2 cost 4.70171737671
Epoch 59: Train cost 3.44276714325, Train acc 0.997574626866, test acc 0.716417910448
global cost 0.0208767671138, inc1 cost 5.3020324707, inc2 cost 4.73422813416
Epoch 60: Train cost 3.42886257172, Train acc 0.998507462687, test acc 0.723134328358
global cost 0.0174077935517, inc1 cost 5.34083080292, inc2 cost 4.73686265945
Epoch 61: Train cost 3.41653108597, Train acc 0.998507462687, test acc 0.729104477612
global cost 0.0172120314091, inc1 cost 5.2957277298, inc2 cost 4.75705718994
Epoch 62: Train cost 3.40459036827, Train acc 0.998320895522, test acc 0.714925373134
global cost 0.0169632639736, inc1 cost 5.29519128799, inc2 cost 4.75113773346
Epoch 63: Train cost 3.39471507072, Train acc 0.998134328358, test acc 0.729104477612
global cost 0.0169484894723, inc1 cost 5.31397771835, inc2 cost 4.7265791893
Epoch 64: Train cost 3.3831217289, Train acc 0.998134328358, test acc 0.718656716418
global cost 0.0141457980499, inc1 cost 5.25980806351, inc2 cost 4.67595386505
Epoch 65: Train cost 3.37037324905, Train acc 0.998694029851, test acc 0.70671641791
global cost 0.0158445052803, inc1 cost 5.24491262436, inc2 cost 4.71884584427
Epoch 66: Train cost 3.35974144936, Train acc 0.997947761194, test acc 0.720895522388
global cost 0.0180604308844, inc1 cost 5.21239948273, inc2 cost 4.75313997269
Epoch 67: Train cost 3.34864974022, Train acc 0.998134328358, test acc 0.718656716418
global cost 0.0119853466749, inc1 cost 5.16455411911, inc2 cost 4.74208450317
Epoch 68: Train cost 3.33669948578, Train acc 0.998694029851, test acc 0.703731343284
