
start time is: 2018-01-10 10:35:38

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/0110train_1.conf
learning_rate = 0.00015
batch_size = 13
num_epoches = 300
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：复制baseline的权重作为place全局的权重，image权重不做调整。

Epoch 148: Train cost 0.0979480221868, Train acc 0.999067164179, test acc 0.779104477612
Epoch 149: Train cost 0.0977372154593, Train acc 0.998507462687, test acc 0.780597014925
Epoch 150: Train cost 0.0981801301241, Train acc 0.997947761194, test acc 0.768656716418
Epoch 151: Train cost 0.0967281460762, Train acc 0.999067164179, test acc 0.781343283582
Epoch 152: Train cost 0.0966465249658, Train acc 0.999440298507, test acc 0.771641791045
Epoch 153: Train cost 0.0973396971822, Train acc 0.998507462687, test acc 0.770895522388
Epoch 154: Train cost 0.0975092872977, Train acc 0.998694029851, test acc 0.765671641791
Epoch 155: Train cost 0.0987723767757, Train acc 0.99776119403, test acc 0.789552238806
the model has been saved !
Epoch 156: Train cost 0.0968347787857, Train acc 0.998507462687, test acc 0.779850746269
Epoch 157: Train cost 0.0974610447884, Train acc 0.998320895522, test acc 0.776119402985
Epoch 158: Train cost 0.0979408845305, Train acc 0.998320895522, test acc 0.782089552239
Epoch 159: Train cost 0.0981743782759, Train acc 0.998134328358, test acc 0.780597014925
Epoch 160: Train cost 0.099164031446, Train acc 0.998134328358, test acc 0.776119402985
Epoch 161: Train cost 0.0970128774643, Train acc 0.998507462687, test acc 0.779850746269
Epoch 162: Train cost 0.0966876745224, Train acc 0.998507462687, test acc 0.785074626866
Epoch 163: Train cost 0.0984658151865, Train acc 0.998134328358, test acc 0.778358208955
Epoch 164: Train cost 0.0977752357721, Train acc 0.998694029851, test acc 0.779850746269
Epoch 165: Train cost 0.0982624366879, Train acc 0.998134328358, test acc 0.786567164179
Epoch 166: Train cost 0.0973293110728, Train acc 0.998507462687, test acc 0.782089552239
Epoch 167: Train cost 0.0975531116128, Train acc 0.998507462687, test acc 0.777611940299
Epoch 168: Train cost 0.0973969325423, Train acc 0.998320895522, test acc 0.777611940299
Epoch 169: Train cost 0.0976675152779, Train acc 0.998507462687, test acc 0.776119402985
Epoch 170: Train cost 0.0969040170312, Train acc 0.998320895522, test acc 0.767164179104
Epoch 171: Train cost 0.0952943637967, Train acc 0.999067164179, test acc 0.776865671642
Epoch 172: Train cost 0.0975413620472, Train acc 0.998507462687, test acc 0.768656716418
Epoch 173: Train cost 0.0977418571711, Train acc 0.998694029851, test acc 0.777611940299
Epoch 174: Train cost 0.0990775004029, Train acc 0.998320895522, test acc 0.777611940299
Epoch 175: Train cost 0.096664339304, Train acc 0.998507462687, test acc 0.767910447761
Epoch 176: Train cost 0.100018113852, Train acc 0.99776119403, test acc 0.778358208955
Epoch 177: Train cost 0.0974241346121, Train acc 0.998320895522, test acc 0.775373134328
Epoch 178: Train cost 0.0964232981205, Train acc 0.998694029851, test acc 0.776865671642
Epoch 179: Train cost 0.0960332751274, Train acc 0.998880597015, test acc 0.776865671642
Epoch 180: Train cost 0.097210496664, Train acc 0.998320895522, test acc 0.777611940299
Epoch 181: Train cost 0.0966478288174, Train acc 0.998507462687, test acc 0.773880597015
Epoch 182: Train cost 0.0977912023664, Train acc 0.998507462687, test acc 0.780597014925
Epoch 183: Train cost 0.0988819897175, Train acc 0.997947761194, test acc 0.778358208955
Epoch 184: Train cost 0.0958255082369, Train acc 0.998320895522, test acc 0.772388059701
Epoch 185: Train cost 0.0978357568383, Train acc 0.998320895522, test acc 0.770895522388
Epoch 186: Train cost 0.0985087454319, Train acc 0.998507462687, test acc 0.773134328358
Epoch 187: Train cost 0.0974861308932, Train acc 0.998694029851, test acc 0.772388059701
Epoch 188: Train cost 0.0957980379462, Train acc 0.999067164179, test acc 0.780597014925
Epoch 189: Train cost 0.0974192395806, Train acc 0.998320895522, test acc 0.776865671642
Epoch 190: Train cost 0.0968320593238, Train acc 0.998320895522, test acc 0.777611940299
Epoch 191: Train cost 0.098579287529, Train acc 0.998134328358, test acc 0.779104477612
Epoch 192: Train cost 0.094167329371, Train acc 0.999067164179, test acc 0.774626865672
Epoch 193: Train cost 0.098301500082, Train acc 0.997947761194, test acc 0.775373134328
Epoch 194: Train cost 0.0981926843524, Train acc 0.998134328358, test acc 0.774626865672
