start time is: 2017-12-20 10:23:24

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/1220train_1.conf
learning_rate = 0.001
batch_size = 26
num_epoches = 200
model_file :/home/ubuntu/wangchen/work/Indoor/models/best_model.pkl

其余要说明的事项 ：微调place预训练的权重,learning decay指数下降,l2正则化。
Epoch 96: Train cost 0.0290846563876, Train acc 0.998880597015, test acc 0.770149253731
Epoch 97: Train cost 0.0296574234962, Train acc 0.998134328358, test acc 0.755970149254
Epoch 98: Train cost 0.0288217235357, Train acc 0.999067164179, test acc 0.763432835821
Epoch 99: Train cost 0.0290462933481, Train acc 0.998507462687, test acc 0.762686567164
Epoch 100: Train cost 0.0297419559211, Train acc 0.998507462687, test acc 0.765671641791
Epoch 101: Train cost 0.028920546174, Train acc 0.998320895522, test acc 0.763432835821
Epoch 102: Train cost 0.0296295136213, Train acc 0.998880597015, test acc 0.764925373134
Epoch 103: Train cost 0.0287906974554, Train acc 0.998694029851, test acc 0.764925373134
Epoch 104: Train cost 0.0285837706178, Train acc 0.998507462687, test acc 0.767910447761
Epoch 105: Train cost 0.0290958564728, Train acc 0.998694029851, test acc 0.765671641791
Epoch 106: Train cost 0.0285249650478, Train acc 0.998694029851, test acc 0.762686567164
Epoch 107: Train cost 0.0282848514616, Train acc 0.998694029851, test acc 0.762686567164
Epoch 108: Train cost 0.0287581328303, Train acc 0.998694029851, test acc 0.763432835821
Epoch 109: Train cost 0.0286458730698, Train acc 0.999067164179, test acc 0.764925373134
Epoch 110: Train cost 0.0281919296831, Train acc 0.998507462687, test acc 0.761940298507
Epoch 111: Train cost 0.0282286033034, Train acc 0.999067164179, test acc 0.764179104478
Epoch 112: Train cost 0.0289616119117, Train acc 0.998320895522, test acc 0.765671641791
Epoch 113: Train cost 0.0285672266036, Train acc 0.998880597015, test acc 0.764179104478
Epoch 114: Train cost 0.0286131259054, Train acc 0.999067164179, test acc 0.762686567164
Epoch 115: Train cost 0.0287378281355, Train acc 0.998320895522, test acc 0.762686567164
Epoch 116: Train cost 0.0291279070079, Train acc 0.998694029851, test acc 0.763432835821
Epoch 117: Train cost 0.0288762468845, Train acc 0.998320895522, test acc 0.770149253731
Epoch 118: Train cost 0.0284998267889, Train acc 0.998694029851, test acc 0.768656716418
Epoch 119: Train cost 0.0287069752812, Train acc 0.998694029851, test acc 0.764925373134
Epoch 120: Train cost 0.0282128863037, Train acc 0.998694029851, test acc 0.764925373134
Epoch 121: Train cost 0.0291576385498, Train acc 0.998507462687, test acc 0.767164179104
Epoch 122: Train cost 0.0285669323057, Train acc 0.999067164179, test acc 0.763432835821
Epoch 123: Train cost 0.0285859853029, Train acc 0.998134328358, test acc 0.766417910448
Epoch 124: Train cost 0.0288510844111, Train acc 0.998507462687, test acc 0.770895522388
Epoch 125: Train cost 0.0288267731667, Train acc 0.998694029851, test acc 0.765671641791
Epoch 126: Train cost 0.0284495465457, Train acc 0.998694029851, test acc 0.768656716418
Epoch 127: Train cost 0.0283201336861, Train acc 0.999067164179, test acc 0.769402985075
Epoch 128: Train cost 0.0279160644859, Train acc 0.999067164179, test acc 0.765671641791
Epoch 129: Train cost 0.0283846687526, Train acc 0.998694029851, test acc 0.765671641791
Epoch 130: Train cost 0.0287514012307, Train acc 0.998507462687, test acc 0.762686567164
Epoch 131: Train cost 0.0293456502259, Train acc 0.998134328358, test acc 0.755970149254
Epoch 132: Train cost 0.0277418382466, Train acc 0.999626865672, test acc 0.762686567164
Epoch 133: Train cost 0.0292725451291, Train acc 0.998134328358, test acc 0.761194029851
Epoch 134: Train cost 0.0283692441881, Train acc 0.998694029851, test acc 0.762686567164
Epoch 135: Train cost 0.0282606594265, Train acc 0.999067164179, test acc 0.765671641791
Epoch 136: Train cost 0.029066754505, Train acc 0.998320895522, test acc 0.767910447761
Epoch 137: Train cost 0.0285774581134, Train acc 0.998320895522, test acc 0.767164179104
Epoch 138: Train cost 0.0286824572831, Train acc 0.998507462687, test acc 0.764179104478
Epoch 139: Train cost 0.0286374595016, Train acc 0.998507462687, test acc 0.764179104478
Epoch 140: Train cost 0.028487155214, Train acc 0.999253731343, test acc 0.767164179104
Epoch 141: Train cost 0.0280771758407, Train acc 0.998880597015, test acc 0.764925373134
Epoch 142: Train cost 0.0281625296921, Train acc 0.999253731343, test acc 0.766417910448
Epoch 143: Train cost 0.0280821435153, Train acc 0.999067164179, test acc 0.760447761194
Epoch 144: Train cost 0.0281896609813, Train acc 0.998694029851, test acc 0.759701492537
Epoch 145: Train cost 0.0283501949161, Train acc 0.998880597015, test acc 0.764179104478
